Date,Item
8/2/22,Banana
8/3/22,Banana
8/4/22,Banana
8/5/22,Banana
8/6/22,Banana
8/7/22,Banana
8/8/22,Banana
8/9/22,Banana
8/10/22,Banana
8/7/22,Banana
8/8/22,Banana
8/9/22,Banana
8/10/22,Banana
8/5/22,Chocolate Bar
8/6/22,Chocolate Bar
8/7/22,Chocolate Bar
8/8/22,Chocolate Bar
8/2/22,Chocolate Bar
8/2/22,Cookies
8/3/22,Cookies
8/4/22,Cookies
8/5/22,Cookies
8/6/22,Cookies
8/7/22,Cookies
8/8/22,Cookies
8/9/22,Cookies
8/10/22,Cookies
8/2/22,Ground Coffee
8/3/22,Ground Coffee
8/4/22,Ground Coffee
8/5/22,Ground Coffee
8/5/22,Ground Coffee
8/7/22,Ground Coffee
8/8/22,Ground Coffee
8/9/22,Ground Coffee
8/10/22,Ground Coffee
8/8/22,Ground Coffee
8/9/22,Ground Coffee
8/4/22,Muffin
8/5/22,Muffin
8/6/22,Muffin
8/7/22,Muffin
8/8/22,Muffin
8/9/22,Muffin
8/9/22,Ground Coffee
8/2/22,Muffin
8/3/22,Muffin
8/4/22,Muffin
8/5/22,Muffin
8/6/22,Muffin
8/7/22,Muffin
8/8/22,Muffin
8/9/22,Muffin
8/10/22,Muffin
8/9/22,Mug
8/9/22,Ground Coffee
8/7/22,Mug
8/2/22,Muffin
8/3/22,Muffin
8/4/22,Muffin
8/5/22,Muffin
8/6/22,Chocolate Bar
8/7/22,Chocolate Bar
8/8/22,Chocolate Bar
8/3/22,Whole Bean Coffee
8/4/22,Whole Bean Coffee
8/5/22,Whole Bean Coffee
8/6/22,Whole Bean Coffee
8/5/22,Whole Bean Coffee
8/6/22,Whole Bean Coffee
8/7/22,Whole Bean Coffee
8/8/22,Whole Bean Coffee
8/2/22,Cookies
8/3/22,Cookies
8/4/22,Cookies
8/5/22,Cookies
8/6/22,Cookies
8/7/22,Cookies
8/8/22,Cookies
8/9/22,Cookies
8/10/22,Cookies
8/2/22,Cookies
8/7/22,Cookies
8/8/22,Cookies
8/9/22,Cookies
8/6/22,Cookies
8/7/22,Cookies
8/8/22,Cookies
8/9/22,Cookies
8/10/22,Cookies
